,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume,snr_err,snr_solar_err,snrd_err
0,64288,1.8529516,969291266435404.1,0.04948018010880587,3.74074883632556e-08,25883410252656.54,1862353174.2,2.1032696525957713,1.911656139040932e-15,0.0006712370686947247,5.196215118099411e-10,351128560720.90497
1,145286,16.341616,1.8756005895890404e+16,0.0956171280301921,7.141356876751332e-08,109744067972371.33,2467809413.95,2.1032696525957713,8.71273771756522e-16,0.0007039269504931066,6.002055450260351e-10,807928544748.8708
2,108988,9.112341,5579828107650057.0,0.01406195973013959,1.0901461840057673e-08,8610665267122.477,370989689.78000003,2.1032696525957713,1.6330863288614208e-15,0.0003416240207820543,2.7696795786531643e-10,209189198846.7216
3,84439,25.828686,1.3596149639157336e+16,0.4754243762532001,3.8976434673780705e-07,250262090825741.1,4945614886.97,2.1032696525957713,1.8997059230366646e-15,0.0009338491023304804,7.459932786900617e-10,491575612312.52576
4,36221,0.2891003,79142315088706.14,0.0382128786875814,2.846331833950657e-08,10460921989839.066,1194451079.11,2.1032696525957713,3.652916896302109e-15,0.0005891765356865508,4.6358450405998066e-10,161289334636.3782
5,141680,23.205252,2.5248205113997656e+16,0.12923547081321032,1.0245681914670062e-07,140613154086669.33,3427675495.32,2.1032696525957713,9.190852139875465e-16,0.0008127482194631855,6.6938075812349e-10,884301267275.3086
6,84297,18.364534,6.589113711880093e+16,0.12895017392064675,1.00749248622307e-07,462667530322226.7,3470847609.83,2.1032696525957713,2.7871023028315576e-16,0.0007683295900356872,6.441453335420358e-10,2756732643990.5073
7,111727,13.980547,7730810477482809.0,0.043474779616148373,3.786931515871246e-08,24040209711592.535,969841637.79,2.1032696525957713,1.808419316541328e-15,0.0004581146517926216,3.7100150538533603e-10,253323246219.6785
8,245300,0.37280285,5129495372430127.0,6.295786734372202e-06,4.0343748300206655e-12,86625434649.35739,3214963.7,2.1032696525957713,7.267827006994308e-17,1.698564072615234e-06,1.0674722760028208e-12,23371003065.711308
9,95452,12.2835,1.1251107212740336e+16,0.07183534565896682,5.6329519425109125e-08,65797791807977.92,2065699649.34,2.1032696525957713,1.0917592169142802e-15,0.00064875798010995,5.418686995702607e-10,594231740899.4106
10,171396,9.625498,4832491230030309.0,0.043969032648929714,3.830973838619092e-08,22074698334451.8,890834543.98,2.1032696525957713,1.9918293778134038e-15,0.00042763923892088097,3.665297915948117e-10,214696722362.0007
11,86078,11.941873,1.1961625062315338e+16,0.017464300029742752,1.357033112417623e-08,17493186280876.158,750686847.57,2.1032696525957713,9.983487141410604e-16,0.00044685859178371313,3.856131676580947e-10,447597703542.066
12,114368,25.93018,1.7846240532031164e+16,0.1360905292097095,1.052997197078207e-07,93663226341193.48,4740792161.28,2.1032696525957713,1.4529771664491157e-15,0.0010060648353150904,8.21473493923804e-10,692416136018.0078
13,54881,9.20609,3214236970674085.5,0.05691439681879962,4.488505787972062e-08,19871232892422.44,1674682537.13,2.1032696525957713,2.8641603229612875e-15,0.000717500911763451,5.925090872181128e-10,250510038146.75388
14,37312,44.852337,3.8172851447618344e+16,7.494172531564313,8.885096316355132e-06,6378127738811613.0,5461753391.14,2.1032696525957713,1.1749800001592073e-15,0.0011556433951262924,1.064208769854168e-09,983543034749.2767
15,53768,60.071796,2.071166025778406e+17,0.20641976893894373,1.6729254923084834e-07,711697736613982.6,6979722080.06,2.1032696525957713,2.9003853506829913e-16,0.0014534997035737863,1.2397166888297478e-09,5011402030531.949
16,31963,27.107836,4.147258610505896e+16,1.1259742769393926,8.869973942014706e-07,1722640831693480.2,6602720261.25,2.1032696525957713,6.536326413629001e-16,0.0010794527706740734,8.57819757076977e-10,1651467051007.87
17,21114,38.818752,9152589504379962.0,0.37891085873340447,2.981362530038578e-07,89338666754123.27,3939442932.79,2.1032696525957713,4.241286248162154e-15,0.0009745170369368204,7.966344696920372e-10,229769220919.50308
18,18723,1.5004343,367978861721318.9,0.010344766245560098,8.214976152689079e-09,2537035648821.362,220628500.42,2.1032696525957713,4.077501335216159e-15,0.0002843957612870264,2.2145216210126223e-10,69747558101.52293
19,104466,21.48396,2.9660898450599616e+16,0.1241940209764358,9.728771937406872e-08,171463093598838.4,4089741082.99,2.1032696525957713,7.24319259437864e-16,0.000982494825828202,8.039899560093587e-10,1356438908708.1646
20,7501,23.330465,2.3677110691132544e+16,0.09979058559663383,7.971975658752441e-08,101273281141393.28,3628506407.79,2.1032696525957713,9.853594597898987e-16,0.0008428328684038568,6.785147747031316e-10,855355738487.1183
21,140101,16.824621,9543884148043160.0,0.12374725476839156,9.830255696372217e-08,70196497332564.6,2931068086.87,2.1032696525957713,1.7628693662893692e-15,0.0008267101938672289,6.84004406104722e-10,468957150016.9385
22,234190,3.3911078,6349300307008179.0,0.002222474070661994,1.5625978780817219e-09,4161222860320.7236,60193369.83,2.1032696525957713,5.340915748239204e-16,0.00011645086154193076,8.063864493110399e-11,218035383876.4866
23,67237,46.03558,1.7544914905761958e+16,0.19927243756593205,1.4756198089407693e-07,75945995687640.73,6894356629.87,2.1032696525957713,2.6238702351803014e-15,0.0012122419746152125,9.480753600662796e-10,462005307412.58716
24,150691,10.905908,8081392997626025.0,0.035473355274899816,2.9885116135439863e-08,26286130867863.14,766919356.63,2.1032696525957713,1.3495084329154268e-15,0.0004433061927390533,3.5760727659052364e-10,328494570264.6344
